feature_set,model,ticker,n,actual_miscov,brier,roc_auc
D,lightgbm,BAC,623,0.09630818619582665,0.0831550641541618,0.6673031379514506
D,lightgbm,CAT,623,0.1187800963081862,0.10792756718632811,0.5009722837591689
D,lightgbm,CVX,623,0.1043338683788122,0.09256224820471268,0.5637165701681832
D,lightgbm,DIS,623,0.09951845906902086,0.08708747855319289,0.623310907940889
D,lightgbm,GME,623,0.08025682182985554,0.06702509240107103,0.7673123909249564
D,lightgbm,GOOGL,623,0.11075441412520064,0.10002565410794824,0.5553811541882488
D,lightgbm,GS,623,0.11075441412520064,0.09785863650887194,0.6129597656045623
D,lightgbm,JNJ,623,0.11556982343499198,0.10428640744894346,0.5068562210123009
D,lightgbm,JPM,623,0.11717495987158909,0.10181485581866193,0.5843586550435866
D,lightgbm,KO,623,0.11396468699839486,0.10171831197259931,0.5211140028577261
D,lightgbm,MCD,623,0.10754414125200643,0.0966135720008083,0.5771367980242671
D,lightgbm,MSFT,623,0.11396468699839486,0.09793871305829276,0.6333690549091652
D,lightgbm,NFLX,623,0.10272873194221509,0.08726963695876631,0.6465926878354203
D,lightgbm,NVDA,623,0.10272873194221509,0.08949530832731215,0.6663265876565295
D,lightgbm,PFE,623,0.09470304975922954,0.08641522976540844,0.5704111071042192
D,lightgbm,PG,623,0.11075441412520064,0.0986868480354251,0.5740072202166064
D,lightgbm,TSLA,623,0.09951845906902086,0.09176040323707511,0.5255448220343857
D,lightgbm,UNH,623,0.11075441412520064,0.09557231686563464,0.6143200962695546
D,lightgbm,V,623,0.11235955056179775,0.10136425870064233,0.5295660036166365
D,lightgbm,WMT,623,0.12199036918138041,0.10503065322341004,0.6017992879822958
D,lightgbm,XOM,623,0.11075441412520064,0.09720403565022678,0.6152095432428191
M+K+D,logistic,AAPL,623,0.11235955056179775,0.09639253422451391,0.6621028158098683
M+K+D,logistic,AMZN,623,0.1043338683788122,0.09260784319029582,0.6109732561345466
M+K+D,logistic,BA,623,0.11235955056179775,0.09815773259237322,0.6161973650219582
M+K+D,logistic,BAC,623,0.09630818619582665,0.08393247565530844,0.6602723505032564
M+K+D,logistic,CAT,623,0.1187800963081862,0.10757843460255676,0.489218726923645
M+K+D,logistic,CVX,623,0.1043338683788122,0.09415652575061381,0.5312103666942377
M+K+D,logistic,DIS,623,0.09951845906902086,0.08750054376142195,0.6348686102006785
M+K+D,logistic,GME,623,0.08025682182985554,0.06836941305518289,0.7675392670157067
M+K+D,logistic,GOOGL,623,0.11075441412520064,0.0987337722642558,0.5631507351017633
M+K+D,logistic,GS,623,0.11075441412520064,0.09730121318229716,0.6169622769842515
M+K+D,logistic,JNJ,623,0.11556982343499198,0.10321282848295528,0.539120790481952
M+K+D,logistic,JPM,623,0.11717495987158909,0.10250009860030962,0.5878455790784558
M+K+D,logistic,KO,623,0.11396468699839486,0.10255079454044465,0.508062869973464
M+K+D,logistic,MCD,623,0.10754414125200643,0.09575201948735672,0.5829485665199184
M+K+D,logistic,MSFT,623,0.11396468699839486,0.09953849236224285,0.6069861196162483
M+K+D,logistic,NFLX,623,0.10272873194221509,0.08846310914980857,0.6799670169946332
M+K+D,logistic,NVDA,623,0.10272873194221509,0.08987359930096318,0.6528678443649374
M+K+D,logistic,PFE,623,0.09470304975922954,0.08657391872793489,0.5476319269142925
M+K+D,logistic,PG,623,0.11075441412520064,0.09821980105027117,0.5774603672892796
M+K+D,logistic,TSLA,623,0.09951845906902086,0.0906737573141845,0.5444482778448623
M+K+D,logistic,UNH,623,0.11075441412520064,0.0972807230489303,0.5926071260398681
M+K+D,logistic,V,623,0.11235955056179775,0.1005206151517063,0.5427538103849135
M+K+D,logistic,WMT,623,0.12199036918138041,0.10594268674547151,0.5975416145482536
M+K+D,logistic,XOM,623,0.11075441412520064,0.096391970730729,0.6173546800606917
M+K+D,lightgbm,AAPL,623,0.11235955056179775,0.0979320828801548,0.653332472229398
M+K+D,lightgbm,AMZN,623,0.1043338683788122,0.09369296216036876,0.5972704714640199
M+K+D,lightgbm,BA,623,0.11235955056179775,0.09889039750868493,0.6269697752518729
M+K+D,lightgbm,BAC,623,0.09630818619582665,0.0822062225408405,0.6886175251628182
M+K+D,lightgbm,CAT,623,0.1187800963081862,0.1082137366342874,0.5079751883030571
M+K+D,lightgbm,CVX,623,0.1043338683788122,0.09186124732432363,0.5689137027846705
M+K+D,lightgbm,DIS,623,0.09951845906902086,0.08821921416258911,0.6217152550169628
M+K+D,lightgbm,GME,623,0.08025682182985554,0.06586653124927068,0.7599650959860385
M+K+D,lightgbm,GOOGL,623,0.11075441412520064,0.09982548467570032,0.5685266572489929
M+K+D,lightgbm,GS,623,0.11075441412520064,0.09832548011236215,0.598702453827238
M+K+D,lightgbm,JNJ,623,0.11556982343499198,0.1024142666416251,0.5305505142165761
M+K+D,lightgbm,JPM,623,0.11717495987158909,0.1030166286975925,0.5931880448318805
M+K+D,lightgbm,KO,623,0.11396468699839486,0.10130303422298946,0.5386303327209634
M+K+D,lightgbm,MCD,623,0.10754414125200643,0.09678700922643538,0.5823043058090841
M+K+D,lightgbm,MSFT,623,0.11396468699839486,0.0997267332376491,0.6083511941212492
M+K+D,lightgbm,NFLX,623,0.10272873194221509,0.0873763808988522,0.6749916144901611
M+K+D,lightgbm,NVDA,623,0.10272873194221509,0.09015810028939411,0.6713998211091234
M+K+D,lightgbm,PFE,623,0.09470304975922954,0.08672810223158224,0.5253786512802019
M+K+D,lightgbm,PG,623,0.11075441412520064,0.10080253155067194,0.5430596975880291
M+K+D,lightgbm,TSLA,623,0.09951845906902086,0.09240245808625187,0.5563509861422575
M+K+D,lightgbm,UNH,623,0.11075441412520064,0.09751260892252064,0.5890231779417151
M+K+D,lightgbm,V,623,0.11235955056179775,0.10097986806389818,0.5491475071041074
M+K+D,lightgbm,WMT,623,0.12199036918138041,0.10567514071108516,0.6200327143269508
M+K+D,lightgbm,XOM,623,0.11075441412520064,0.09673549452862149,0.6091665358656412
