test_year,architecture,features,n_train,n_test,train_prevalence,test_prevalence,brier,logloss,auc,pr_auc,brier_vs_constant,brier_improvement_pct
2022,D+W,"disagreement_pct,interval_width_pct",31152,6024,0.1024653312788906,0.11620185922974767,0.10210666618508543,0.35776869605305794,0.5863954330793174,0.1601226049986114,-0.0007810131563568412,0.7590929850453492
2022,D+O+M+W,"disagreement_pct,novelty_pct,ewma_miscoverage_pct,interval_width_pct",31152,6024,0.1024653312788906,0.11620185922974767,0.10230961645924298,0.35894727775305096,0.5875352849629709,0.15853457632400555,-0.00057806288219929,0.5618387798221544
2023,constant,,37176,6000,0.10477189584678287,0.07,0.06630908474077951,0.2608472371020857,0.5,0.07,,
2023,D,disagreement_pct,37176,6000,0.10477189584678287,0.07,0.0661849799476213,0.2583027241743161,0.5772307561017239,0.10008349296849885,-0.00012410479315820566,0.18716107098049312
2023,D+O,"disagreement_pct,novelty_pct",37176,6000,0.10477189584678287,0.07,0.06646079851832659,0.2593322368175908,0.5761810889230244,0.10269207066719649,0.00015171377754708004,-0.2287978760982315
2023,D+M,"disagreement_pct,ewma_miscoverage_pct",37176,6000,0.10477189584678287,0.07,0.06637999227565682,0.25883810253595235,0.5732157791431984,0.09789761427177006,7.090753487730417e-05,-0.10693487197795185
2023,D+W,"disagreement_pct,interval_width_pct",37176,6000,0.10477189584678287,0.07,0.0657033016477192,0.25598607185845956,0.5762427462024236,0.09885392246607402,-0.0006057830930603081,0.9135748071753383
2023,D+O+M+W,"disagreement_pct,novelty_pct,ewma_miscoverage_pct,interval_width_pct",37176,6000,0.10477189584678287,0.07,0.06609890117463584,0.25757081407040283,0.5729360812425328,0.1044222865827995,-0.00021018356614367628,0.31697551996885764
2024,constant,,43176,6048,0.09984713729849917,0.10218253968253968,0.09174672237086126,0.32988234266637106,0.5,0.10218253968253968,,
2024,D,disagreement_pct,43176,6048,0.09984713729849917,0.10218253968253968,0.09118341309190296,0.32785793858894696,0.5806969550680328,0.14217358379739384,-0.0005633092789582989,0.6139830005929517
2024,D+O,"disagreement_pct,novelty_pct",43176,6048,0.09984713729849917,0.10218253968253968,0.09095360989572622,0.3268941776819341,0.587966290594623,0.15142540619621625,-0.000793112475135041,0.8644586472845306
2024,D+M,"disagreement_pct,ewma_miscoverage_pct",43176,6048,0.09984713729849917,0.10218253968253968,0.09125366518168469,0.3280801308614597,0.5793461352786569,0.1419888883856253,-0.0004930571891765684,0.5374112299985152
2024,D+W,"disagreement_pct,interval_width_pct",43176,6048,0.09984713729849917,0.10218253968253968,0.0913837074799561,0.328622022339469,0.5752425694481694,0.1388332919710654,-0.0003630148909051639,0.3956706915782502
2024,D+O+M+W,"disagreement_pct,novelty_pct,ewma_miscoverage_pct,interval_width_pct",43176,6048,0.09984713729849917,0.10218253968253968,0.09120662010419549,0.3278755716209677,0.5832612180919856,0.1466902574109978,-0.0005401022666657734,0.5886883506121956
2025,constant,,49224,6000,0.10025597269624574,0.10333333333333333,0.09266502570404624,0.3323979490727056,0.5,0.10333333333333333,,
2025,D,disagreement_pct,49224,6000,0.10025597269624574,0.10333333333333333,0.09047260021377206,0.32233339950342427,0.6332950593596355,0.18637593239512312,-0.00219242549027418,2.3659686851826423
2025,D+O,"disagreement_pct,novelty_pct",49224,6000,0.10025597269624574,0.10333333333333333,0.09011836789545088,0.3213197850934257,0.6353128372706559,0.20256669756297208,-0.002546657808595351,2.7482405462540664
2025,D+M,"disagreement_pct,ewma_miscoverage_pct",49224,6000,0.10025597269624574,0.10333333333333333,0.09017746842719078,0.32083743047924823,0.6391018107686772,0.18236901350550977,-0.0024875572768554566,2.6844618646092244
2025,D+W,"disagreement_pct,interval_width_pct",49224,6000,0.10025597269624574,0.10333333333333333,0.090112709088078,0.3206710801104075,0.6394662129751769,0.19414027645087,-0.0025523166159682337,2.754347281054913
2025,D+O+M+W,"disagreement_pct,novelty_pct,ewma_miscoverage_pct,interval_width_pct",49224,6000,0.10025597269624574,0.10333333333333333,0.08970063610643163,0.3193394877068991,0.6432845664947836,0.19752838190846633,-0.0029643895976146084,3.19903822946349
2026,constant,,55224,2904,0.10049978270317253,0.128099173553719,0.11245150166389442,0.38666885847272253,0.5,0.128099173553719,,
2026,D,disagreement_pct,55224,2904,0.10049978270317253,0.128099173553719,0.11218849610686259,0.3873560760837165,0.5534359127894137,0.15221166534726785,-0.00026300555703183404,0.23388354369684602
2026,D+O,"disagreement_pct,novelty_pct",55224,2904,0.10049978270317253,0.128099173553719,0.11242732227695897,0.38917419268165304,0.5541727182388014,0.15512873136929617,-2.417938693545507e-05,0.021502057845100807
2026,D+M,"disagreement_pct,ewma_miscoverage_pct",55224,2904,0.10049978270317253,0.128099173553719,0.11212012269502404,0.3866713973871302,0.5578684239582803,0.1537929368132266,-0.00033137896887038,0.29468612154316665
2026,D+W,"disagreement_pct,interval_width_pct",55224,2904,0.10049978270317253,0.128099173553719,0.11248847021303937,0.38768396220562285,0.5454504917698619,0.14027579512329985,3.696854914495007e-05,-0.03287510491006615
2026,D+O+M+W,"disagreement_pct,novelty_pct,ewma_miscoverage_pct,interval_width_pct",55224,2904,0.10049978270317253,0.128099173553719,0.11269988768373125,0.38910187364398047,0.5509749401212862,0.14333193868418476,0.00024838601983682984,-0.22088279494855415
