signal,ticker,n_low,n_high,low_miscov,high_miscov,difference_miscov,low_abs_error,high_abs_error,difference_abs_error
M,V,175,134,0.13142857142857142,0.14925373134328357,0.017825159914712146,0.009558212044168995,0.00996936291901844,0.0004111508748494454
M,WMT,160,147,0.1,0.17006802721088435,0.07006802721088434,0.009605533161891666,0.011325103092123106,0.0017195699302314394
M,XOM,179,149,0.0893854748603352,0.15436241610738255,0.06497694124704735,0.010622412246100565,0.012567152500066167,0.0019447402539656024
W,AAPL,195,187,0.09743589743589744,0.1497326203208556,0.052296722884958166,0.009667047970228767,0.013966066148154424,0.004299018177925657
W,AMZN,214,166,0.102803738317757,0.10240963855421686,-0.00039409976354014276,0.013991865200868186,0.016368990191415498,0.002377124990547312
W,BA,191,197,0.08900523560209424,0.1218274111675127,0.03282217556541846,0.013834578060468608,0.019104745712483082,0.005270167652014475
W,BAC,325,119,0.08,0.15966386554621848,0.07966386554621847,0.010652862718047766,0.013800741147822725,0.0031478784297749585
W,CAT,155,217,0.0967741935483871,0.12442396313364056,0.02764976958525346,0.013362299325470726,0.0161167904120057,0.002754491086534973
W,CVX,207,121,0.13043478260869565,0.11570247933884298,-0.01473230326985267,0.010387814206548667,0.012589100597715217,0.002201286391166549
W,DIS,282,101,0.07446808510638298,0.18811881188118812,0.11365072677480514,0.010396802548752478,0.0169336140403531,0.006536811491600621
W,GME,360,54,0.04722222222222222,0.3148148148148148,0.2675925925925926,0.02344507956926946,0.12760329767277373,0.10415821810350427
W,GOOGL,199,210,0.09547738693467336,0.10952380952380952,0.01404642258913616,0.012563331772392218,0.015758338984057048,0.0031950072116648295
W,GS,219,179,0.1004566210045662,0.12849162011173185,0.028034999107165642,0.011841959290635267,0.01599015786447746,0.004148198573842193
W,JNJ,157,181,0.10191082802547771,0.15469613259668508,0.052785304571207364,0.007752206974162263,0.009200343230797776,0.0014481362566355132
W,JPM,224,191,0.11607142857142858,0.14136125654450263,0.025289827973074053,0.009867955092849823,0.012165367578104724,0.002297412485254901
W,KO,142,207,0.1267605633802817,0.1111111111111111,-0.015649452269170583,0.00753260670574098,0.008269677985353033,0.0007370712796120529
W,MCD,228,163,0.10964912280701754,0.15950920245398773,0.04986007964697019,0.008243623138007843,0.010447010381695106,0.0022033872436872624
W,MSFT,236,185,0.1016949152542373,0.14594594594594595,0.04425103069170866,0.00953242080836611,0.015378892351692151,0.005846471543326041
W,NFLX,265,116,0.07547169811320754,0.15517241379310345,0.07970071567989591,0.01382499825341807,0.019105889066909385,0.005280890813491316
W,NVDA,257,179,0.058365758754863814,0.1564245810055866,0.09805882225072278,0.01758584449108693,0.02692959683719004,0.009343752346103108
W,PFE,201,117,0.12437810945273632,0.07692307692307693,-0.047455032529659394,0.011650058735650441,0.013449007674817916,0.0017989489391674746
W,PG,175,212,0.08571428571428572,0.10849056603773585,0.022776280323450138,0.007184113018724041,0.00944602472055786,0.0022619117018338195
W,TSLA,257,161,0.10116731517509728,0.11180124223602485,0.01063392706092757,0.026031193978003703,0.033417229674052744,0.0073860356960490404
W,UNH,159,185,0.09433962264150944,0.11351351351351352,0.01917389087200408,0.01531393515399662,0.017602072231023856,0.002288137077027236
W,V,232,155,0.10775862068965517,0.12903225806451613,0.02127363737486096,0.008343350426557232,0.010088820934355718,0.0017454705077984863
W,WMT,161,222,0.10559006211180125,0.13963963963963963,0.03404957752783838,0.008755760500885256,0.011952488625141634,0.003196728124256377
W,XOM,245,184,0.08571428571428572,0.14673913043478262,0.06102484472049691,0.009964605394187595,0.01348921572554077,0.003524610331353175
