config,test_year,brier_D,brier_D_PS,improvement_D_to_DPS,auc_D,auc_D_PS,n_test
w40_s0.50_n50,2021,0.07777424814479723,0.07748032155023088,0.0002939265945663544,0.6050275843997153,0.6167579607302404,6048
w40_s0.50_n50,2022,0.10198455025984952,0.1019270369645293,5.751329532022176e-05,0.5888782601695824,0.5932027476655576,6024
w40_s0.50_n50,2023,0.0661849799476213,0.06597084266303749,0.00021413728458381798,0.5772307561017239,0.5804441884280594,6000
w40_s0.50_n50,2024,0.09118341309190296,0.09128070500255829,-9.729191065532827e-05,0.5806969550680328,0.578413852086276,6048
w40_s0.50_n50,2025,0.09047260021377206,0.09005150756592802,0.0004210926478440402,0.6332950593596355,0.6391076567933804,6000
w40_s0.50_n50,2026,0.11218849610686259,0.11209293271890633,9.55633879562573e-05,0.5534359127894137,0.5566299750293023,2904
w40_s1.00_n20,2021,0.07777424814479723,0.07751059360462273,0.0002636545401745044,0.6050275843997153,0.6180937407164517,6048
w40_s1.00_n20,2022,0.10198455025984952,0.10181719388064943,0.00016735637920009538,0.5888782601695824,0.5950370290866158,6024
w40_s1.00_n20,2023,0.0661849799476213,0.06585442486951919,0.00033055507810211826,0.5772307561017239,0.5846509643283837,6000
w40_s1.00_n20,2024,0.09118341309190296,0.09103977547900122,0.00014363761290174526,0.5806969550680328,0.5848881319768515,6048
w40_s1.00_n20,2025,0.09047260021377206,0.08979121598925928,0.0006813842245127766,0.6332950593596355,0.6460250029979614,6000
w40_s1.00_n20,2026,0.11218849610686259,0.11218242215075855,6.0739561040384915e-06,0.5534359127894137,0.5528583592383087,2904
w40_s1.00_n30,2021,0.07777424814479723,0.07731203589002877,0.00046221225476845984,0.6050275843997153,0.6228406116351937,6048
w40_s1.00_n30,2022,0.10198455025984952,0.10177827500353802,0.00020627525631150556,0.5888782601695824,0.5969518085220564,6024
w40_s1.00_n30,2023,0.0661849799476213,0.06582132086669447,0.00036365908092683696,0.5772307561017239,0.5862598139614268,6000
w40_s1.00_n30,2024,0.09118341309190296,0.09119569259944273,-1.2279507539764145e-05,0.5806969550680328,0.5809833300553678,6048
